"","County","Population_5_Years_Over","Spanish_Bilangual","Asian_Pacific_Bilangual","IndoEuro_Bilangual","Other_Bilangual","Percent_Spanish_Bilangual","Percent_Asian_Pacific_Bilangual","Percent_IndoEuro_Bilangual","Percent_Other_Bilangual","Region","Rural_Urban_Stat"
"226","Titus",29029,6120,29,106,0,0.211,0.001,0.004,0,"Upper East","Rural"
"227","Tom Green",111675,18804,360,905,152,0.168,0.003,0.008,0.001,"West Texas","Urban"
"228","Travis",1214982,161219,28854,32101,12663,0.133,0.024,0.026,0.01,"Capitol","Urban"
"229","Trinity",13077,690,60,200,0,0.053,0.005,0.015,0,"Southeast","Rural"
"230","Tyler",19188,595,35,117,0,0.031,0.002,0.006,0,"Southeast","Rural"
"231","Upshur",38896,1166,0,72,0,0.03,0,0.002,0,"Upper East","Urban"
"232","Upton",3180,997,5,0,0,0.314,0.002,0,0,"West Texas","Rural"
"233","Uvalde",23084,7975,146,87,0,0.345,0.006,0.004,0,"South Texas","Rural"
"234","Val Verde",43937,19066,90,116,0,0.434,0.002,0.003,0,"South Texas","Rural"
"235","Van Zandt",56554,3044,34,265,13,0.054,0.001,0.005,0,"Upper East","Rural"
"236","Victoria",85214,14906,436,328,84,0.175,0.005,0.004,0.001,"Alamo","Urban"
"237","Walker",74180,7041,481,377,917,0.095,0.006,0.005,0.012,"Gulf Coast","Rural"
"238","Waller",53917,7174,291,273,176,0.133,0.005,0.005,0.003,"Gulf Coast","Urban"
"239","Ward",10479,2618,18,1,0,0.25,0.002,0,0,"West Texas","Rural"
"240","Washington",33920,2768,104,234,6,0.082,0.003,0.007,0,"Central Texas","Rural"
"241","Webb",244692,119705,757,489,80,0.489,0.003,0.002,0,"South Texas","Urban"
"242","Wharton",38785,6649,29,183,0,0.171,0.001,0.005,0,"Gulf Coast","Rural"
"243","Wheeler",4680,441,11,13,18,0.094,0.002,0.003,0.004,"High Plains","Rural"
"244","Wichita",121630,8335,1166,892,710,0.069,0.01,0.007,0.006,"Northwest","Urban"
"245","Wilbarger",11953,1521,227,22,0,0.127,0.019,0.002,0,"Northwest","Rural"
"246","Willacy",19072,8780,3,0,0,0.46,0,0,0,"South Texas","Rural"
"247","Williamson",579812,55957,19784,17503,5112,0.097,0.034,0.03,0.009,"Capitol","Urban"
"248","Wilson",47567,6931,92,391,7,0.146,0.002,0.008,0,"Alamo","Urban"
"249","Winkler",7065,2305,0,0,0,0.326,0,0,0,"West Texas","Rural"
"250","Wise",65915,5946,278,369,13,0.09,0.004,0.006,0,"Metroplex","Urban"
"251","Wood",43270,1908,148,353,117,0.044,0.003,0.008,0.003,"Upper East","Rural"
"252","Yoakum",6955,2529,0,152,0,0.364,0,0.022,0,"High Plains","Rural"
"253","Young",16919,1090,75,46,23,0.064,0.004,0.003,0.001,"Northwest","Rural"
"254","Zapata",12762,6923,0,0,0,0.542,0,0,0,"South Texas","Rural"
"255","Zavala",9003,4898,0,0,0,0.544,0,0,0,"South Texas","Rural"
