"","Geographic.Area.Name","Estimate..Total..Population.5.years.and.over","NonEnglish_Language_Estimate","Spanish_Estimate","Asian_Pacific_Estimate","Other_Indo_Europe_Estimate","Other_Estimate","Spanish_Bilangual","Asian_Pacific_Bilangual","IndoEuro_Bilangual","Other_Bilangual","Percent_Spanish_Bilangual","Percent_Asian_Pacific_Bilangual","Percent_IndoEuro_Bilangual","Percent_Other_Bilangual"
"167","Milam County, Texas",23682,4034,3867,89,64,14,2171,63,57,14,0.561,0.708,0.891,1
"168","Mills County, Texas",4405,716,683,5,28,0,583,3,28,0,0.854,0.6,1,0
"169","Mitchell County, Texas",8390,1675,1633,6,23,13,1177,0,23,13,0.721,0,1,1
"170","Montague County, Texas",19145,1518,1446,0,72,0,1011,0,50,0,0.699,0,0.694,0
"171","Montgomery County, Texas",589724,137516,111361,10575,12463,3117,72540,7472,10184,2613,0.651,0.707,0.817,0.838
"172","Moore County, Texas",19366,10098,8786,630,62,620,4868,307,35,241,0.554,0.487,0.565,0.389
"173","Morris County, Texas",11442,1253,960,97,54,142,718,47,40,88,0.748,0.485,0.741,0.62
"174","Motley County, Texas",1147,105,105,0,0,0,77,0,0,0,0.733,0,0,0
"175","Nacogdoches County, Texas",60831,9802,9104,425,245,28,5217,334,169,28,0.573,0.786,0.69,1
"176","Navarro County, Texas",49387,12516,11522,800,135,59,7073,336,108,59,0.614,0.42,0.8,1
"177","Newton County, Texas",11756,193,24,30,139,0,13,4,139,0,0.542,0.133,1,0
"178","Nolan County, Texas",13636,3380,3269,22,89,0,2468,10,60,0,0.755,0.455,0.674,0
"179","Nueces County, Texas",331095,112644,104660,4696,2631,657,82664,3159,2197,503,0.79,0.673,0.835,0.766
"180","Ochiltree County, Texas",9168,4571,4530,0,38,3,2394,0,38,0,0.528,0,1,0
"181","Oldham County, Texas",2045,310,278,14,18,0,148,10,18,0,0.532,0.714,1,0
"182","Orange County, Texas",79222,6067,4282,447,1266,72,2545,224,830,69,0.594,0.501,0.656,0.958
"183","Palo Pinto County, Texas",26879,3336,3063,112,161,0,2145,112,110,0,0.7,1,0.683,0
"184","Panola County, Texas",21249,1826,1550,189,82,5,1051,150,82,5,0.678,0.794,1,1
"185","Parker County, Texas",142139,12435,10670,852,843,70,6756,668,632,31,0.633,0.784,0.75,0.443
"186","Parmer County, Texas",9083,4823,4747,0,75,1,3008,0,52,1,0.634,0,0.693,1
"187","Pecos County, Texas",14101,7205,6949,146,76,34,5727,65,60,34,0.824,0.445,0.789,1
"188","Polk County, Texas",47988,6503,5843,267,114,279,4230,141,90,246,0.724,0.528,0.789,0.882
"189","Potter County, Texas",109629,34801,26996,5129,417,2259,18603,2484,248,1391,0.689,0.484,0.595,0.616
"190","Presidio County, Texas",5663,4205,4203,2,0,0,1930,1,0,0,0.459,0.5,0,0
"191","Rains County, Texas",11719,668,533,71,32,32,193,12,17,32,0.362,0.169,0.531,1
"192","Randall County, Texas",132986,16423,12440,1537,1976,470,9877,649,1412,312,0.794,0.422,0.715,0.664
"193","Reagan County, Texas",3010,1603,1532,71,0,0,1099,39,0,0,0.717,0.549,0,0
"194","Real County, Texas",2668,349,349,0,0,0,267,0,0,0,0.765,0,0,0
"195","Red River County, Texas",10928,543,448,11,82,2,178,11,65,2,0.397,1,0.793,1
"196","Reeves County, Texas",13187,6934,6799,135,0,0,4615,72,0,0,0.679,0.533,0,0
"197","Refugio County, Texas",6341,1842,1810,1,22,9,1565,1,0,9,0.865,1,0,1
"198","Roberts County, Texas",745,21,9,0,12,0,2,0,12,0,0.222,0,1,0
"199","Robertson County, Texas",15850,1913,1659,0,49,205,1299,0,49,202,0.783,0,1,0.985
"200","Rockwall County, Texas",103994,15066,10864,1774,1846,582,7766,1289,1326,478,0.715,0.727,0.718,0.821
