"","Geographic.Area.Name","Estimate..Total..Population.5.years.and.over","NonEnglish_Language_Estimate","Spanish_Estimate","Asian_Pacific_Estimate","Other_Indo_Europe_Estimate","Other_Estimate","English_Monolangual","Spanish_Bilangual","Asian_Pacific_Bilangual","IndoEuro_Bilangual","Other_Bilangual","Other_Langual_Not_Bilingual","Overall_Bilingual","Percent_of_Spanish_Bilangual","Percent_of_Asian_Pacific_Bilangual","Percent_of_IndoEuro_Bilangual","Percent_of_Other_Bilangual","Percent_Overall_Bilingual","Percent_Spanish_Bilangual","Percent_Asian_Pacific_Bilangual","Percent_IndoEuro_Bilangual","Percent_Other_Bilangual"
"150","Live Oak County, Texas",10737,3183,2831,178,146,28,7554,2195,126,136,25,701,2482,0.775,0.708,0.932,0.893,0.231,0.204,0.012,0.013,0.002
"151","Llano County, Texas",20880,1757,1563,30,164,0,19123,869,14,157,0,717,1040,0.556,0.467,0.957,0,0.05,0.042,0.001,0.008,0
"152","Loving County, Texas",73,16,11,5,0,0,57,11,0,0,0,5,11,1,0,0,0,0.151,0.151,0,0,0
"153","Lubbock County, Texas",291818,59727,50314,4383,2789,2241,232091,39246,2895,1968,1638,13980,45747,0.78,0.661,0.706,0.731,0.157,0.134,0.01,0.007,0.006
"154","Lynn County, Texas",5251,1310,1251,11,41,7,3941,890,4,25,7,384,926,0.711,0.364,0.61,1,0.176,0.169,0.001,0.005,0.001
"155","McCulloch County, Texas",7225,1848,1788,8,52,0,5377,1356,8,49,0,435,1413,0.758,1,0.942,0,0.196,0.188,0.001,0.007,0
"156","McLennan County, Texas",244156,47330,41904,2492,2472,462,196826,18963,1451,1908,184,24824,22506,0.453,0.582,0.772,0.398,0.092,0.078,0.006,0.008,0.001
"157","McMullen County, Texas",620,104,104,0,0,0,516,85,0,0,0,19,85,0.817,0,0,0,0.137,0.137,0,0,0
"158","Madison County, Texas",12750,2448,2323,27,98,0,10302,1404,19,81,0,944,1504,0.604,0.704,0.827,0,0.118,0.11,0.001,0.006,0
"159","Marion County, Texas",9326,333,237,57,39,0,8993,92,42,39,0,160,173,0.388,0.737,1,0,0.019,0.01,0.005,0.004,0
"160","Martin County, Texas",4895,1716,1529,0,187,0,3179,997,0,160,0,559,1157,0.652,0,0.856,0,0.236,0.204,0,0.033,0
"161","Mason County, Texas",3619,643,522,4,117,0,2976,263,4,93,0,283,360,0.504,1,0.795,0,0.099,0.073,0.001,0.026,0
