"","County","Population_5_Years_Over","Spanish_Bilangual","Asian_Pacific_Bilangual","IndoEuro_Bilangual","Other_Bilangual","Percent_Spanish_Bilangual","Percent_Asian_Pacific_Bilangual","Percent_IndoEuro_Bilangual","Percent_Other_Bilangual","Region","Rural_Urban_Stat"
"240","Washington",31647,2041,228,419,0,65.9,83.2,69.8,0,"Central Texas","Rural"
"241","Webb",225234,92685,776,327,0,45.1,65.7,72.6,0,"South Texas","Urban"
"242","Wharton",38170,6499,9,400,31,65.1,14.5,87.3,86.1,"Gulf Coast","Rural"
"243","Wheeler",5014,393,36,15,3,44.5,73.5,100,30,"High Plains","Rural"
"244","Wichita",122121,7063,1045,671,0,57.3,49.5,68.7,0,"Northwest","Urban"
"245","Wilbarger",12491,871,19,62,0,51.4,35.8,100,0,"Northwest","Rural"
"246","Willacy",20450,5570,0,32,0,58.5,0,78.8,0,"South Texas","Rural"
"247","Williamson",392866,36911,6305,8635,386,65.8,61.7,78.5,21,"Capitol","Urban"
"248","Wilson",40372,6372,58,269,7,72.3,40,66.6,53.8,"Alamo","Urban"
"249","Winkler",6517,1638,20,7,0,59.1,74.1,100,0,"West Texas","Rural"
"250","Wise",55416,4413,30,204,21,59.2,50,73.7,48.8,"Metroplex","Urban"
"251","Wood",39751,1216,78,94,0,49.6,44.6,79.3,0,"Upper East","Rural"
"252","Yoakum",7178,1371,8,55,0,38.7,23.5,38.1,0,"High Plains","Rural"
"253","Young",17148,830,0,34,23,40.8,0,100,100,"Northwest","Rural"
"254","Zapata",12432,5995,0,0,0,55.6,0,100,0,"South Texas","Rural"
"255","Zavala",10679,4865,0,0,0,59.1,0,0,0,"South Texas","Rural"
