Geography,Geographic Area Name,Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!English only,Margin of Error!!Total!!English only,Estimate!!Total!!Spanish,Margin of Error!!Total!!Spanish,"Estimate!!Total!!Spanish!!No one 14 and over speaks English only or speaks English very well""""","Margin of Error!!Total!!Spanish!!No one 14 and over speaks English only or speaks English very well""""","Estimate!!Total!!Spanish!!At least one person 14 and over speaks English only or speaks English very well""""","Margin of Error!!Total!!Spanish!!At least one person 14 and over speaks English only or speaks English very well""""",Estimate!!Total!!Other Indo-European languages,Margin of Error!!Total!!Other Indo-European languages,"Estimate!!Total!!Other Indo-European languages!!No one 14 and over speaks English only or speaks English very well""""","Margin of Error!!Total!!Other Indo-European languages!!No one 14 and over speaks English only or speaks English very well""""","Estimate!!Total!!Other Indo-European languages!!At least one person 14 and over speaks English only or speaks English very well""""","Margin of Error!!Total!!Other Indo-European languages!!At least one person 14 and over speaks English only or speaks English very well""""",Estimate!!Total!!Asian and Pacific Island languages,Margin of Error!!Total!!Asian and Pacific Island languages,"Estimate!!Total!!Asian and Pacific Island languages!!No one 14 and over speaks English only or speaks English very well""""","Margin of Error!!Total!!Asian and Pacific Island languages!!No one 14 and over speaks English only or speaks English very well""""","Estimate!!Total!!Asian and Pacific Island languages!!At least one person 14 and over speaks English only or speaks English very well""""","Margin of Error!!Total!!Asian and Pacific Island languages!!At least one person 14 and over speaks English only or speaks English very well""""",Estimate!!Total!!Other languages,Margin of Error!!Total!!Other languages,"Estimate!!Total!!Other languages!!No one 14 and over speaks English only or speaks English very well""""","Margin of Error!!Total!!Other languages!!No one 14 and over speaks English only or speaks English very well""""","Estimate!!Total!!Other languages!!At least one person 14 and over speaks English only or speaks English very well""""","Margin of Error!!Total!!Other languages!!At least one person 14 and over speaks English only or speaks English very well"""""
0500000US48057,"Calhoun County, Texas",7827,350,5492,318,2056,228,444,113,1612,207,65,40,0,24,65,40,206,74,108,48,98,69,8,12,0,24,8,12
0500000US48059,"Callahan County, Texas",5182,212,4826,223,300,96,23,21,277,93,25,20,0,20,25,20,8,8,0,20,8,8,23,32,0,20,23,32
0500000US48061,"Cameron County, Texas",116839,940,28255,871,86987,1092,20973,875,66014,1171,603,140,69,40,534,128,787,114,143,60,644,124,207,105,12,18,195,101
0500000US48063,"Camp County, Texas",4350,216,3713,205,577,96,220,84,357,104,24,27,16,24,8,13,6,9,0,20,6,9,30,35,22,33,8,12
0500000US48065,"Carson County, Texas",2337,107,2142,108,176,65,14,20,162,64,13,21,0,18,13,21,6,8,0,18,6,8,0,18,0,18,0,18
0500000US48067,"Cass County, Texas",11739,334,11244,354,350,87,61,40,289,85,78,86,0,27,78,86,53,40,13,14,40,37,14,23,0,27,14,23
0500000US48069,"Castro County, Texas",2597,155,1327,119,1252,125,376,106,876,134,6,10,0,18,6,10,12,16,0,18,12,16,0,18,0,18,0,18
0500000US48071,"Chambers County, Texas",11822,304,9387,345,1965,227,375,161,1590,280,348,176,7,12,341,176,110,65,33,42,77,65,12,19,0,27,12,19
0500000US48073,"Cherokee County, Texas",17273,421,15044,427,2081,207,630,144,1451,212,66,42,7,15,59,43,53,33,12,21,41,27,29,44,0,30,29,44
0500000US48075,"Childress County, Texas",2431,198,2115,224,260,117,14,26,246,122,44,54,34,51,10,16,12,22,0,18,12,22,0,18,0,18,0,18
0500000US48077,"Clay County, Texas",4272,131,4142,135,105,35,16,16,89,35,23,20,0,20,23,20,2,3,0,20,2,3,0,20,0,20,0,20
0500000US48079,"Cochran County, Texas",1069,64,574,51,481,52,127,44,354,56,13,17,0,13,13,17,1,2,0,13,1,2,0,13,0,13,0,13
0500000US48081,"Coke County, Texas",1411,109,1208,110,199,42,10,11,189,41,4,6,0,13,4,6,0,13,0,13,0,13,0,13,0,13,0,13
0500000US48083,"Coleman County, Texas",3511,192,3272,207,210,67,49,36,161,63,26,30,0,18,26,30,3,5,0,18,3,5,0,18,0,18,0,18
0500000US48085,"Collin County, Texas",283025,1303,206222,1802,32604,1034,6948,628,25656,974,18076,912,2732,433,15344,875,20923,755,5216,507,15707,744,5200,538,440,155,4760,510
0500000US48087,"Collingsworth County, Texas",1197,74,918,79,257,56,56,42,201,58,15,16,8,14,7,10,0,13,0,13,0,13,7,11,0,13,7,11
0500000US48089,"Colorado County, Texas",8048,296,6445,266,1345,152,219,95,1126,160,228,86,22,35,206,81,30,19,18,23,12,18,0,24,0,24,0,24
0500000US48091,"Comal County, Texas",41112,569,32100,688,7189,405,897,215,6292,404,1512,301,43,35,1469,294,280,99,57,50,223,99,31,31,13,21,18,23
0500000US48093,"Comanche County, Texas",5296,241,4424,224,828,103,156,65,672,100,37,27,5,9,32,26,7,9,0,20,7,9,0,20,0,20,0,20
0500000US48095,"Concho County, Texas",918,100,723,88,189,60,51,33,138,52,6,6,3,5,3,5,0,13,0,13,0,13,0,13,0,13,0,13
0500000US48097,"Cooke County, Texas",14489,325,12637,308,1641,175,471,137,1170,172,83,39,0,27,83,39,100,53,34,42,66,39,28,40,0,27,28,40
0500000US48099,"Coryell County, Texas",20464,623,16595,619,2318,270,219,122,2099,251,1046,187,37,36,1009,187,452,137,56,42,396,127,53,50,9,18,44,45
0500000US48101,"Cottle County, Texas",719,198,615,165,102,59,12,10,90,54,2,3,0,13,2,3,0,13,0,13,0,13,0,13,0,13,0,13
0500000US48103,"Crane County, Texas",1551,72,824,59,727,68,176,65,551,81,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
0500000US48105,"Crockett County, Texas",1273,157,675,136,594,113,149,56,445,113,4,7,0,13,4,7,0,13,0,13,0,13,0,13,0,13,0,13
